,project_name,date,duration,emissions,emissions_rate,cpu_power,ram_power,cpu_energy,ram_energy,energy_consumed
481,projectexcecuterdataload,2022-04-27,0.0027461051940917,1.8153418004512787e-10,6.610605465358569e-08,5.0,6.0,3.6706527074178062e-09,4.074970881144205e-09,7.74562358856201e-09
482,projectexcecuterdataload,2022-04-28,0.0022320747375488,1.4218664069970448e-10,6.370155905077265e-08,5.0,6.0,2.881884574890137e-09,3.184874852498372e-09,6.066759427388509e-09
483,projectexcecuterdataload,2022-04-29,0.0022850036621093,1.5024085693889194e-10,6.575081669680952e-08,5.0,6.0,3.0471218956841363e-09,3.363291422526041e-09,6.410413318210178e-09
484,projectexcecuterdataload,2022-04-30,0.0021238327026367,1.386927033795251e-10,6.530302655540588e-08,5.0,6.0,2.8345319959852433e-09,3.083149592081705e-09,5.9176815880669484e-09
485,projectexcecuterdataload,2022-05-01,0.0021579265594482,1.4185913258128696e-10,6.573862857388379e-08,5.0,6.0,2.8762552473280167e-09,3.176530202229817e-09,6.052785449557834e-09
486,projectexcecuterdataload,2022-05-02,0.0022408962249755,1.4786603503757054e-10,6.598522206854159e-08,5.0,6.0,2.9974513583713112e-09,3.311634063720703e-09,6.309085422092013e-09
487,projectexcecuterdataload,2022-05-03,0.001744270324707,1.1216454578770531e-10,6.430456575390317e-08,5.0,6.0,2.307030889723036e-09,2.478758494059245e-09,4.785789383782281e-09
488,projectexcecuterdataload,2022-05-04,0.0022339820861816,1.4764873107274376e-10,6.609217324795448e-08,5.0,6.0,2.9861927032470702e-09,3.3136208852132167e-09,6.2998135884602865e-09
489,projectexcecuterdataload,2022-05-05,0.0022778511047363,1.4965724057621426e-10,6.57010637196753e-08,5.0,6.0,3.0404991573757596e-09,3.345012664794922e-09,6.385511822170682e-09
490,projectexcecuterdataload,2022-05-06,0.0023317337036132,1.5347868601481119e-10,6.58217041581459e-08,5.0,6.0,3.1054019927978516e-09,3.443161646525065e-09,6.548563639322917e-09
491,projectexcecuterdataload,2022-05-07,0.0021629333496093,1.386927033795251e-10,6.412250447040958e-08,5.0,6.0,2.814663781060112e-09,3.1030178070068356e-09,5.9176815880669484e-09
492,projectexcecuterdataload,2022-05-08,0.0021049976348876,1.3728643629286023e-10,6.521928291866451e-08,5.0,6.0,2.8126769595675996e-09,3.045002619425456e-09,5.857679578993056e-09
493,projectexcecuterdataload,2022-05-09,0.0023040771484375,1.5198239299986101e-10,6.59623715737675e-08,5.0,6.0,3.074937396579318e-09,3.409783045450846e-09,6.484720442030165e-09
494,projectexcecuterdataload,2022-05-10,0.0027887821197509,1.8471457878748576e-10,6.623485480607563e-08,5.0,6.0,3.733237584431966e-09,4.1480859120686845e-09,7.88132349650065e-09
495,projectexcecuterdataload,2022-05-11,0.0022022724151611,1.4528322219848636e-10,6.596968712785539e-08,5.0,6.0,2.940495808919271e-09,3.258387247721354e-09,6.198883056640625e-09
496,projectexcecuterdataload,2022-05-12,0.002108097076416,1.3862751219007706e-10,6.575954861896505e-08,5.0,6.0,2.816650602552625e-09,3.098249435424805e-09,5.91490003797743e-09
497,projectexcecuterdataload,2022-05-13,0.0015828609466552,1.0436643779277803e-10,6.593531668926044e-08,5.0,6.0,2.11497147878011e-09,2.338091532389323e-09,4.4530630111694335e-09
498,projectexcecuterdataload,2022-05-14,0.00260591506958,1.7148542384306591e-10,6.58062213327234e-08,5.0,6.0,3.481904665629069e-09,3.8349628448486325e-09,7.316867510477702e-09
499,projectexcecuterdataload,2022-05-15,0.0024218559265136,1.5558808664480843e-10,6.424332882129028e-08,5.0,6.0,3.181894620259602e-09,3.456672032674153e-09,6.6385666529337564e-09
500,projectexcecuterdataload,2022-05-16,0.0023050308227539,1.5023775259653728e-10,6.517819680044133e-08,5.0,6.0,3.073612848917643e-09,3.3366680145263673e-09,6.41028086344401e-09
