,energy_consumed_log_cumsum,energy_consumed_cumsum,energy_consumed_log,energy_consumed,emissions_rate_log_cumsum,emissions_rate_cumsum,emissions_rate_log,emissions_rate,emissions_log_cumsum,emissions_cumsum,emissions_log,emissions,duration_log_cumsum,duration_cumsum,duration_log,duration,timestamp,date
142,2.460663409322153,11.712579197353788,-1.2733892498861115,0.27988142437405056,6.917843210105609,1010.1389858350316,3.0322319010864267,20.7434783540807,3.3123942864978444,27.45077186483807,-0.4216583727104196,0.6559580943054624,5.955832215657186,385.9980106353755,2.220060987805249,9.2078924179077,1645142400.0,2022-02-18
145,2.476883455590587,11.904106868637934,-1.6527229832328634,0.19152767128414577,6.938207028375798,1030.9201463265606,3.034046830672308,20.781160491529008,3.328614332766279,27.899655268026724,-0.8009921060571715,0.4488834031886525,5.9720572648265655,392.31193065643265,1.84275672313399,6.31392002105712,1645228800.0,2022-02-19
148,2.492023842595762,12.085710962613424,-1.7059262691511523,0.18160409397549102,6.958148105822861,1051.6841450025404,3.0332206541997975,20.763998675979742,3.343754719771454,28.325280783077083,-0.8541953919754606,0.4256255150503583,5.987228904856668,398.30932617187455,1.7913252942280424,5.99739551544188,1645315200.0,2022-02-20
151,2.5159647593230305,12.378545337253147,-1.2281481040599587,0.2928343746397231,6.977614883318533,1072.357616325967,3.028851299768757,20.673471323426607,3.3676956364987225,29.0115967069202,-0.37641722688426704,0.686315923843119,6.011144783385621,407.95006752014115,2.2659980090127,9.640741348266591,1645401600.0,2022-02-21
154,2.5351299014717994,12.618069847424826,-1.4290995284460244,0.2395245101716784,6.996786836359425,1093.1151516292962,3.0329093279031345,20.75753530332917,3.386860778647491,29.572970301409566,-0.5773686512703329,0.5613735944893625,6.030296227610932,415.83819389343216,2.0653586381267415,7.888126373291,1645488000.0,2022-02-22
157,2.560009045861333,12.935934331681993,-1.1461301371644248,0.31786448425716834,7.0155275953330625,1113.7941238043943,3.0291173470075,20.67897217509819,3.4117399230370244,30.317949293163093,-0.29439925998873306,0.7449789917535253,6.055137062565363,426.2973308563228,2.34747594690492,10.459136962890609,1645574400.0,2022-02-23
160,2.592070010359808,13.357392946879068,-0.8640336909464716,0.4214586151970757,7.033995101714248,1134.554227553302,3.033033055824109,20.760103748907746,3.4438008875355006,31.30572184960048,-0.01230281377077972,0.9877725564373865,6.0871247833188225,440.15405178070023,2.6287703802282283,13.85672092437742,1645660800.0,2022-02-24
163,2.6162996511143355,13.684990538491142,-1.1159692786417414,0.3275975916120741,7.0520571541462855,1155.232791981537,3.029097628866785,20.67856442823502,3.4680305282900274,32.0735123250617,-0.2642384014660495,0.7677904754612181,6.111332576876068,450.93922615051224,2.3781724475186743,10.785174369812001,1645747200.0,2022-02-25
166,2.632454799435942,13.907869060834248,-1.5011283988043411,0.22287852234310576,7.0698758840301945,1176.0020645540403,3.033474614284975,20.769272572503372,3.484185676611634,32.595872717877235,-0.6493975216286494,0.5223603928155369,6.127486782750143,458.28294754028275,1.993845715475804,7.343721389770491,1645833600.0,2022-02-26
169,2.6529705425110617,14.196146329243977,-1.243832524446962,0.288277268409729,7.087392605352233,1196.783242681719,3.034047679332432,20.78117812767873,3.5047014196867536,33.27150815184912,-0.39210164727127006,0.6756354339718819,6.147984121762412,467.77346134185746,2.2502927525234413,9.49051380157469,1645920000.0,2022-02-27
