date,duration,emissions,emissions_rate,cpu_power,ram_power,cpu_energy,ram_energy,energy_consumed
2022-04-29,0.0652513504028319,4.63374007648892e-09,2.0740069292512302e-07,15.0,18.0,9.025004174974231e-08,1.0746041933695476e-07,1.9771046108669704e-07
2022-04-30,0.06429481506347651,4.571358316871856e-09,2.0688402419827453e-07,15.0,18.0,8.899900648328993e-08,1.0604977607727054e-07,1.9504878256056047e-07
2022-05-01,0.0900979042053221,6.412762623561756e-09,2.0724895083935643e-07,15.0,18.0,1.247468921873305e-07,1.4887015024820966e-07,2.736170424355401e-07
2022-05-02,0.0688300132751463,4.894289082487425e-09,2.0765559895994992e-07,15.0,18.0,9.527703126271565e-08,1.1355042457580568e-07,2.0882745583852133e-07
2022-05-03,0.09782695770263651,6.969689402845171e-09,2.0600974830249438e-07,15.0,18.0,1.3554162449306912e-07,1.618381341298421e-07,2.9737975862291126e-07
2022-05-04,0.0645728111267088,4.58979190177388e-09,2.0781207540808815e-07,15.0,18.0,8.935001161363392e-08,1.0648528734842936e-07,1.9583529896206328e-07
2022-05-05,0.0823209285736082,5.8566491819752594e-09,2.0716479427988804e-07,15.0,18.0,1.1393758985731338e-07,1.3595143953959151e-07,2.4988902939690497e-07
2022-05-06,0.15564751625061019,1.1109610875778729e-08,2.077313684861446e-07,15.0,18.0,2.158168289396498e-07,2.5820334752400713e-07,4.74020176463657e-07
2022-05-07,0.07685899734497059,5.465283189151022e-09,2.0591406493068904e-07,15.0,18.0,1.0633700423770482e-07,1.2685338656107587e-07,2.3319039079878065e-07
2022-05-08,0.2419519424438475,1.7282553739415277e-08,2.0687770885468195e-07,15.0,18.0,3.356264697180854e-07,4.017782211303712e-07,7.374046908484566e-07
2022-05-09,0.0702280998229979,4.993112717005942e-09,2.0768881650643663e-07,15.0,18.0,9.718769126468235e-08,1.158563296000163e-07,2.1304402086469864e-07
2022-05-10,0.1083958148956298,7.705654470920565e-09,2.0828660546324863e-07,15.0,18.0,1.4995535214742026e-07,1.7882625261942548e-07,3.2878160476684593e-07
2022-05-11,0.1055426597595214,7.52407062139776e-09,2.0774587582819097e-07,15.0,18.0,1.4625357256995308e-07,1.7478028933207193e-07,3.21033861902025e-07
2022-05-12,0.1195583343505858,8.519392628007466e-09,2.0736481586668143e-07,15.0,18.0,1.6567640834384496e-07,1.9782543182373048e-07,3.635018401675754e-07
2022-05-13,0.09434986114501939,6.722575990557673e-09,2.0709410081801914e-07,15.0,18.0,1.3068616390228275e-07,1.561498641967774e-07,2.868360280990601e-07
2022-05-14,0.1466736793518065,1.0463299214906164e-08,2.0749488156862644e-07,15.0,18.0,2.0332899358537463e-07,2.431146303812663e-07,4.4644362396664086e-07
2022-05-15,0.113337993621826,8.075901622705991e-09,2.0607616314917791e-07,15.0,18.0,1.5700691276126437e-07,1.8757224082946776e-07,3.4457915359073214e-07
2022-05-16,0.1115410327911376,7.947965465585392e-09,2.069949803491294e-07,15.0,18.0,1.5455385049184168e-07,1.845665772755941e-07,3.391204277674358e-07
2022-05-17,0.0751681327819823,5.3454974828826055e-09,2.0579911008101865e-07,15.0,18.0,1.0403460926479767e-07,1.2404481569925943e-07,2.2807942496405708e-07
2022-05-18,0.0992691516876219,7.065327982107798e-09,2.0853994180812286e-07,15.0,18.0,1.3746221860249836e-07,1.639982064565023e-07,3.014604250590006e-07
2022-05-19,0.0718040466308591,5.101966481672393e-09,2.0590391639880215e-07,15.0,18.0,9.931690163082548e-08,1.1837164560953778e-07,2.1768854724036326e-07
2022-05-20,0.0803568363189696,5.715743082496856e-09,2.064040948133955e-07,15.0,18.0,1.1124147309197321e-07,1.3263543446858726e-07,2.4387690756056046e-07
2022-05-21,0.0770227909088134,5.482616284688314e-09,2.0950942972345462e-07,15.0,18.0,1.0665655136108398e-07,1.272734006245931e-07,2.3392995198567706e-07
2022-05-22,0.0674540996551512,4.7846266366375825e-09,2.0559199504459865e-07,15.0,18.0,9.319318665398492e-08,1.1095523834228516e-07,2.0414842499627008e-07
